Code,Meaning,Comments
"6","American Indian, citizen",""
"O","American Indian, not yet a citizen",""
"3","Chinese, citizen",""
"L","Chinese, not yet a citizen",""
"7","Filipino, citizen",""
"P","Filipino, not yet a citizen",""
"5","Hawaiian, citizen",""
"N","Hawaiian, not yet a citizen",""
"4","Japanese, citizen",""
"M","Japanese, not yet a citizen",""
"2","Negro, citizen",""
"K","Negro, not yet a citizen",""
"9","Others, citizen",""
"R","Others, not yet a citizen",""
"8","Puerto Rican, citizen",""
"Q","Puerto Rican, not yet a citizen",""
"1","White, citizen",""
"J","White, not yet a citizen",""
