Code,Meaning,Comments
"001","Accountants and auditors",""
"002","Actors and actresses",""
"081","Advertising agents",""
"148","Agents and appraisers, n.e.c.",""
"349","Agricultural occupations, n.e.c.",""
"307","Animal and livestock farmers",""
"797","Apprentices to other construction and hand trades",""
"799","Apprentices to other trades",""
"798","Apprentices to printing trades",""
"247","Apprentices to service occupations",""
"003","Architects",""
"004","Artists, sculptors, and teachers of art",""
"057","Athletes, sports instructors, and sports officials",""
"760","Attendants, filling stations and parking lots",""
"242","Attendants, hospitals and other institutions, n.e.c.",""
"243","Attendants, professional and personal service, n.e.c.",""
"240","Attendants, recreation and amusement, n.e.c.",""
"151","Auctioneers",""
"006","Authors, editors, and reporters",""
"041","Aviators",""
"292","Baggage porters",""
"143","Baggagemen, transportation",""
"401","Bakers",""
"232","Barbers, beauticians, and manicurists",""
"344","Barn bosses",""
"221","Bartenders",""
"222","Bellmen and related occupations",""
"331","Blight control laborers and bindweed eradicators",""
"223","Boarding-house and lodging-house keepers",""
"234","Bookblacks",""
"101","Bookkeepers and cashiers, except bank cashiers",""
"102","Bookkeeping machine operators",""
"074","Buyers and department heads, stores",""
"432","Cabinetmakers",""
"244","Camp attendants",""
"155","Canvassers and solicitors",""
"525","Carpenters",""
"793","Carpenters apprentices",""
"301","Cash grain farmers",""
"282","Charwomen and cleaners",""
"103","Checkers",""
"007","Chemists, assayers, and metallurgists",""
"042","Chiropractors",""
"008","Clergymen",""
"149","Clerks and kindred occupations, n.e.c.",""
"112","Clerks in trade, n.e.c",""
"104","Clerks, general",""
"105","Clerks, general office",""
"115","Collectors, bills and accounts",""
"011","College presidents, professors, and instructors",""
"044","Commercial artists",""
"539","Conductors, bus and street railway",""
"092","Conductors, railroad",""
"205","Cooks, domestic",""
"226","Cooks, except private family",""
"116","Correspondence clerks",""
"302","Cotton farmers",""
"347","Cotton ginners",""
"012","County agents and farm demonstrators",""
"085","Credit men",""
"303","Crop specialty farmers",""
"262","Crossing watchmen and bridge tenders",""
"304","Dairy farmers",""
"045","Dancers and chorus girls",""
"201","Day workers",""
"043","Decorators and window dressers",""
"156","Demonstrators",""
"013","Dentists",""
"046","Designers",""
"245","Doormen",""
"048","Draftsmen",""
"497","Electricians",""
"795","Electricians apprentices",""
"445","Electrotypers and stereotypers",""
"295","Elevator operators",""
"065","Embalmers and undertakers",""
"015","Engineers, chemical",""
"016","Engineers, civil",""
"017","Engineers, electrical",""
"018","Engineers, industrial",""
"019","Engineers, mechanical",""
"020","Engineers, mining",""
"473","Engravers",""
"673","Engravers",""
