cohort,prop_dying,dataset
1900,0.39813175734716066,DMF (1975-2005)
1901,0.4459781363670276,DMF (1975-2005)
1902,0.46921744476830674,DMF (1975-2005)
1903,0.498827976226843,DMF (1975-2005)
1904,0.5256138086631039,DMF (1975-2005)
1905,0.5532536511729825,DMF (1975-2005)
1906,0.5808479718333083,DMF (1975-2005)
1907,0.6026904278373312,DMF (1975-2005)
1908,0.6259681867046576,DMF (1975-2005)
1909,0.6481975662347418,DMF (1975-2005)
1910,0.6591757134346067,DMF (1975-2005)
1911,0.6768995413673025,DMF (1975-2005)
1912,0.6867001450398118,DMF (1975-2005)
1913,0.6951825861386745,DMF (1975-2005)
1914,0.6985782808428626,DMF (1975-2005)
1915,0.6990027967125506,DMF (1975-2005)
1916,0.6943048476739526,DMF (1975-2005)
1917,0.6851536168684528,DMF (1975-2005)
1918,0.6747348840898395,DMF (1975-2005)
1919,0.6570129319041785,DMF (1975-2005)
1920,0.6390194806250192,DMF (1975-2005)
1921,0.6189209812853301,DMF (1975-2005)
1922,0.5937259491447686,DMF (1975-2005)
1923,0.5718977466689641,DMF (1975-2005)
1924,0.5500802404131558,DMF (1975-2005)
1925,0.5253613444650475,DMF (1975-2005)
1926,0.4994043091102776,DMF (1975-2005)
1927,0.47787332507066826,DMF (1975-2005)
1928,0.44941074524084335,DMF (1975-2005)
1929,0.41902385024811434,DMF (1975-2005)
1930,0.4004002564736364,DMF (1975-2005)
1931,0.37096776886320937,DMF (1975-2005)
1932,0.35775030549677705,DMF (1975-2005)
1933,0.3273716918995215,DMF (1975-2005)
1934,0.3088144400509115,DMF (1975-2005)
1935,0.28522555915372916,DMF (1975-2005)
1936,0.26481810744076023,DMF (1975-2005)
1937,0.2447228955754897,DMF (1975-2005)
1938,0.22779213981155355,DMF (1975-2005)
1939,0.20898086672865251,DMF (1975-2005)
1940,0.185727742587703,DMF (1975-2005)
