cohort,prop_dying,dataset
1900,0.2466375169154672,Numident Women (1988-2005)
1901,0.2888385944193741,Numident Women (1988-2005)
1902,0.3276698449861568,Numident Women (1988-2005)
1903,0.360776581786777,Numident Women (1988-2005)
1904,0.393701852912268,Numident Women (1988-2005)
1905,0.42383726555249146,Numident Women (1988-2005)
1906,0.4543353426784877,Numident Women (1988-2005)
1907,0.47835522834761385,Numident Women (1988-2005)
1908,0.49986366918209485,Numident Women (1988-2005)
1909,0.5190020564078665,Numident Women (1988-2005)
1910,0.5221494570779106,Numident Women (1988-2005)
1911,0.5325480726205875,Numident Women (1988-2005)
1912,0.5314450578166938,Numident Women (1988-2005)
1913,0.5275333330990263,Numident Women (1988-2005)
1914,0.5195946837141175,Numident Women (1988-2005)
1915,0.508259627251884,Numident Women (1988-2005)
1916,0.4974004918033699,Numident Women (1988-2005)
1917,0.47924996055945907,Numident Women (1988-2005)
1918,0.45912119563291803,Numident Women (1988-2005)
1919,0.43876308815587106,Numident Women (1988-2005)
1920,0.4166501650641162,Numident Women (1988-2005)
1921,0.39563042985556884,Numident Women (1988-2005)
1922,0.370344360868029,Numident Women (1988-2005)
1923,0.349624821000141,Numident Women (1988-2005)
1924,0.33060464442669635,Numident Women (1988-2005)
1925,0.31145676482040996,Numident Women (1988-2005)
1926,0.289815796893993,Numident Women (1988-2005)
1927,0.27362645969219496,Numident Women (1988-2005)
1928,0.25504136798903,Numident Women (1988-2005)
1929,0.23542147043573078,Numident Women (1988-2005)
1930,0.22399433875769295,Numident Women (1988-2005)
1931,0.2053335471884053,Numident Women (1988-2005)
1932,0.1984032054269705,Numident Women (1988-2005)
1933,0.1805942979646848,Numident Women (1988-2005)
1934,0.16916698678367842,Numident Women (1988-2005)
1935,0.15481123535742203,Numident Women (1988-2005)
1936,0.14305479156028514,Numident Women (1988-2005)
1937,0.1320583949174161,Numident Women (1988-2005)
1938,0.12278594074472905,Numident Women (1988-2005)
1939,0.11131576962361664,Numident Women (1988-2005)
1940,0.09891044485707466,Numident Women (1988-2005)
