cohort,prop_dying,dataset
1900,0.39813175734716066,Carl Method
1901,0.4459781363670276,Carl Method
1902,0.46921744476830674,Carl Method
1903,0.498827976226843,Carl Method
1904,0.5256138086631039,Carl Method
1905,0.5532536511729825,Carl Method
1906,0.5808479718333083,Carl Method
1907,0.6026904278373312,Carl Method
1908,0.6259681867046576,Carl Method
1909,0.6481975662347418,Carl Method
1910,0.6591757134346067,Carl Method
1911,0.6768995413673025,Carl Method
1912,0.6867001450398118,Carl Method
1913,0.6951825861386745,Carl Method
1914,0.6985782808428626,Carl Method
1915,0.6990027967125506,Carl Method
1916,0.6943048476739526,Carl Method
1917,0.6851536168684528,Carl Method
1918,0.6747348840898395,Carl Method
1919,0.6570129319041785,Carl Method
1920,0.6390194806250192,Carl Method
1921,0.6189209812853301,Carl Method
1922,0.5937259491447686,Carl Method
1923,0.5718977466689641,Carl Method
1924,0.5500802404131558,Carl Method
1925,0.5253613444650475,Carl Method
1926,0.4994043091102776,Carl Method
1927,0.47787332507066826,Carl Method
1928,0.44941074524084335,Carl Method
1929,0.41902385024811434,Carl Method
1930,0.4004002564736364,Carl Method
1931,0.37096776886320937,Carl Method
1932,0.35775030549677705,Carl Method
1933,0.3273716918995215,Carl Method
1934,0.3088144400509115,Carl Method
1935,0.28522555915372916,Carl Method
1936,0.26481810744076023,Carl Method
1937,0.2447228955754897,Carl Method
1938,0.22779213981155355,Carl Method
1939,0.20898086672865251,Carl Method
1940,0.185727742587703,Carl Method
